x	y	category
0.0000000e+000	-4.3256481e-001	0.0000000e+000
1.0000000e-001	-1.6655844e+000	0.0000000e+000
2.0000000e-001	 1.2533231e-001	0.0000000e+000
3.0000000e-001	 2.8767642e-001	0.0000000e+000
4.0000000e-001	-1.1464714e+000	0.0000000e+000
5.0000000e-001	 1.1909155e+000	1.0000000e+000
6.0000000e-001	 1.1891642e+000	1.0000000e+000
7.0000000e-001	-3.7633277e-002	0.0000000e+000
8.0000000e-001	 3.2729236e-001	0.0000000e+000
9.0000000e-001	 1.7463914e-001	0.0000000e+000
1.0000000e+000	-1.8670858e-001	0.0000000e+000

